date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
01:19:59	796/796	---M--	404	error ('Not%20Found')	text/html	date:Fri,%2007%20Mar%202025%2006:20:00%20GMT	https://wistoncorp.com/robots.txt		(from )
01:20:01	86383/86383	---MCZ	200	added ('OK')	text/html	date:Fri,%2007%20Mar%202025%2006:20:00%20GMT	https://wistoncorp.com/	C:/Users/reyco/Downloads/prueba/wistoncorp.com/index.html	(from )
01:20:03	8274/8274	---M--	200	added ('OK')	image/png	date:Sat,%2007%20Dec%202024%2007:29:52%20GMT	https://wistoncorp.com/assets/images/wisclogo.png	C:/Users/reyco/Downloads/prueba/wistoncorp.com/assets/images/wisclogo.png	(from https://wistoncorp.com/)
01:20:03	31048/31048	---M-Z	200	added ('OK')	text/css	date:Mon,%2026%20Feb%202024%2012:16:12%20GMT	https://wistoncorp.com/assets/css/font-awesome.min.css	C:/Users/reyco/Downloads/prueba/wistoncorp.com/assets/css/font-awesome.min.css	(from https://wistoncorp.com/)
01:20:04	2506/2506	---M-Z	200	added ('OK')	text/css	date:Mon,%2026%20Feb%202024%2012:16:12%20GMT	https://wistoncorp.com/assets/css/flaticon.css	C:/Users/reyco/Downloads/prueba/wistoncorp.com/assets/css/flaticon.css	(from https://wistoncorp.com/)
01:20:05	144877/144877	---M-Z	200	added ('OK')	text/css	date:Mon,%2026%20Feb%202024%2012:16:12%20GMT	https://wistoncorp.com/assets/css/bootstrap.min.css	C:/Users/reyco/Downloads/prueba/wistoncorp.com/assets/css/bootstrap.min.css	(from https://wistoncorp.com/)
01:20:05	52789/52789	---M-Z	200	added ('OK')	text/css	date:Mon,%2026%20Feb%202024%2012:16:12%20GMT	https://wistoncorp.com/assets/css/animate.min.css	C:/Users/reyco/Downloads/prueba/wistoncorp.com/assets/css/animate.min.css	(from https://wistoncorp.com/)
01:20:07	7636/7636	---M-Z	200	added ('OK')	text/css	date:Mon,%2026%20Feb%202024%2012:16:12%20GMT	https://wistoncorp.com/assets/css/magnific-popup.css	C:/Users/reyco/Downloads/prueba/wistoncorp.com/assets/css/magnific-popup.css	(from https://wistoncorp.com/)
01:20:08	2937/2937	---M-Z	200	added ('OK')	text/css	date:Mon,%2026%20Feb%202024%2012:16:12%20GMT	https://wistoncorp.com/assets/css/owl.carousel.min.css	C:/Users/reyco/Downloads/prueba/wistoncorp.com/assets/css/owl.carousel.min.css	(from https://wistoncorp.com/)
01:20:10	2505/2505	---M-Z	200	added ('OK')	text/css	date:Mon,%2026%20Feb%202024%2012:16:12%20GMT	https://wistoncorp.com/assets/css/slicknav.min.css	C:/Users/reyco/Downloads/prueba/wistoncorp.com/assets/css/slicknav.min.css	(from https://wistoncorp.com/)
